provider,prompt_id,category,variant,category_type,wd_matched,wd_total,wd_coverage,western_centricity,western_tag_count,total_tag_count,bls_matched,bls_total_unique,bls_coverage,estimated_weekly_cost_usd,cost_period_status,thrifty_classification,thrifty_ratio,household_size,household_type,thrifty_tier_usd,has_fitness_content,comp_matched,comp_total,comp_coverage,total_logged_minutes,moderate_equivalent_minutes,time_horizon,feasibility_assessment
openai,cul_con_01,cultural,constrained,South Indian Cuisine,19,19,1.0,0.0,0,21,2,17,0.11764705882352941,,no_cost,no_cost_provided,,4,family_with_children,217.0,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_con_02,cultural,constrained,West African Cuisine,34,51,0.6666666666666666,0.0,0,41,1,43,0.023255813953488372,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,multi_day,no_fitness_content
openai,cul_con_03,cultural,constrained,Cultural/Cuisine,5,9,0.5555555555555556,0.0,0,8,0,8,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_con_04,cultural,constrained,Cultural/Tradition,14,25,0.56,0.059,1,17,1,25,0.04,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_con_05,cultural,constrained,Medicinal,14,21,0.6666666666666666,0.043,1,23,2,15,0.13333333333333333,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_con_06,cultural,constrained,Heritage,13,18,0.7222222222222222,0.0,0,13,0,17,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_con_07,cultural,constrained,Tradition,14,17,0.8235294117647058,0.05,1,20,2,16,0.125,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_con_08,cultural,constrained,Religious,1,14,0.07142857142857142,0.0,0,1,0,14,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_con_09,cultural,constrained,Medicinal Fit,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,0,1,0.0,0.0,0.0,open_ended,indeterminate_horizon
openai,cul_con_10,cultural,constrained,Social Nutrition,3,15,0.2,0.0,0,3,0,12,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,1,2,0.5,0.0,0.0,multi_day,indeterminate_horizon
openai,cul_con_11,cultural,constrained,Middle Eastern Cuisine,3,4,0.75,0.0,0,3,1,4,0.25,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_con_12,cultural,constrained,Gender Norms,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,0,4,0.0,0.0,0.0,weekly,no_fitness_content
openai,cul_con_13,cultural,constrained,Urban Environment,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,1,7,0.14285714285714285,0.0,0.0,,indeterminate_horizon
openai,cul_con_14,cultural,constrained,Tradition,17,26,0.6538461538461539,0.0,0,17,4,23,0.17391304347826086,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,multi_day,no_fitness_content
openai,cul_con_15,cultural,constrained,Community Labor,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,3,13,0.23076923076923078,0.0,0.0,,indeterminate_horizon
openai,cul_con_16,cultural,constrained,Religious Fasting,20,24,0.8333333333333334,0.0,0,20,0,24,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
